	h1	h2	keep
Hcv1.1.c2.g248.i4	379	379	h1
Hcv1.1.c5.g766.i2	551	551	h1
Hcv1.1.c2.g360.i1	77	77	h1
Hcv1.1.c7.g95.i1	1013	1013	h1
Hcv1.1.c13.g83.i2	910	912	h2
Hcv1.1.c5.g872.i1	647	647	h1
Hcv1.1.c8.g114.i1	159	65	h1
Hcv1.1.c9.g774.i1	417	417	h1
Hcv1.1.c6.g1008.i3	624	624	h1
Hcv1.1.c5.g76.i1	434	101	h1
Hcv1.1.c4.g379.i3	94	101	h2
Hcv1.1.c5.g848.i2	2179	2179	h1
Hcv1.1.c5.g195.i1	249	249	h1
Hcv1.1.c3.g618.i1	511	511	h1
Hcv1.1.c8.g770.i3	778	489	h1
Hcv1.1.c11.g14.i1	291	291	h1
Hcv1.1.c2.g725.i4	53	53	h1
Hcv1.1.c5.g72.i3	735	735	h1
Hcv1.1.c5.g123.i1	384	289	h1
Hcv1.1.c2.g842.i2	389	680	h2
Hcv1.1.c9.g316.i1	359	359	h1
Hcv1.1.c13.g477.i2	389	389	h1
Hcv1.1.c1.g1073.i1	453	454	h2
Hcv1.1.c3.g253.i1	505	505	h1
Hcv1.1.c9.g279.i1	422	422	h1
Hcv1.1.c2.g888.i1	1156	1156	h1
Hcv1.1.c2.g1034.i2	315	315	h1
Hcv1.1.c3.g613.i3	305	304	h1
Hcv1.1.c1.g617.i1	221	219	h1
Hcv1.1.c2.g812.i1	196	196	h1
Hcv1.1.c4.g537.i1	436	431	h1
Hcv1.1.c5.g64.i4	167	167	h1
Hcv1.1.c5.g1077.i1	123	123	h1
Hcv1.1.c9.g31.i1	729	481	h1
Hcv1.1.c10.g290.i1	1411	1411	h1
Hcv1.1.c13.g163.i1	729	443	h1
Hcv1.1.c2.g1066.i1	410	410	h1
Hcv1.1.c3.g639.i1	1460	2591	h2
Hcv1.1.c5.g950.i1	91	179	h2
Hcv1.1.c8.g101.i1	90	90	h1
Hcv1.1.c3.g1044.i1	849	849	h1
Hcv1.1.c5.g471.i2	759	757	h1
Hcv1.1.c5.g399.i2	631	631	h1
Hcv1.1.c8.g716.i1	115	115	h1
Hcv1.1.c11.g741.i1	-1	-1	NO
Hcv1.1.c2.g53.i2	292	292	h1
Hcv1.1.c6.g335.i1	69	69	h1
Hcv1.1.c6.g938.i1	217	217	h1
Hcv1.1.c9.g737.i1	406	406	h1
Hcv1.1.c2.g114.i1	1572	1228	h1
Hcv1.1.c9.g148.i3	534	531	h1
Hcv1.1.c1.g1018.i2	394	394	h1
Hcv1.1.c7.g827.i1	287	287	h1
Hcv1.1.c6.g668.i1	116	116	h1
Hcv1.1.c2.g916.i3	448	448	h1
Hcv1.1.c9.g248.i1	598	598	h1
Hcv1.1.c11.g560.i3	89	131	h2
Hcv1.1.c9.g665.i1	1237	1214	h1
Hcv1.1.c5.g70.i1	272	272	h1
Hcv1.1.c4.g102.i4	684	684	h1
Hcv1.1.c8.g733.i5	299	267	h1
Hcv1.1.c2.g494.i1	279	279	h1
Hcv1.1.c11.g88.i2	168	168	h1
Hcv1.1.c5.g621.i1	406	406	h1
Hcv1.1.c3.g143.i1	294	295	h2
Hcv1.1.c3.g244.i2	490	490	h1
Hcv1.1.c13.g299.i1	779	779	h1
Hcv1.1.c1.g386.i1	131	162	h2
Hcv1.1.c6.g580.i1	86	86	h1
Hcv1.1.c11.g744.i1	755	755	h1
Hcv1.1.c13.g347.i1	526	525	h1
Hcv1.1.c13.g506.i1	214	214	h1
Hcv1.1.c1.g45.i2	120	120	h1
Hcv1.1.c1.g1148.i1	311	311	h1
Hcv1.1.c2.g904.i2	455	455	h1
Hcv1.1.c11.g473.i4	589	589	h1
Hcv1.1.c12.g347.i1	1427	1427	h1
Hcv1.1.c2.g847.i1	358	358	h1
Hcv1.1.c3.g688.i2	862	862	h1
Hcv1.1.c2.g879.i1	460	460	h1
Hcv1.1.c3.g942.i1	504	505	h2
Hcv1.1.c4.g563.i1	180	180	h1
Hcv1.1.c8.g614.i1	263	261	h1
Hcv1.1.c4.g620.i3	219	219	h1
Hcv1.1.c5.g752.i1	309	310	h2
Hcv1.1.c8.g789.i1	492	492	h1
Hcv1.1.c8.g227.i1	350	350	h1
Hcv1.1.c6.g784.i1	65	65	h1
Hcv1.1.c10.g279.i1	221	131	h1
Hcv1.1.c9.g89.i1	150	150	h1
Hcv1.1.c11.g420.i1	529	529	h1
Hcv1.1.c5.g998.i1	165	164	h1
Hcv1.1.c10.g245.i1	259	259	h1
Hcv1.1.c7.g835.i2	146	146	h1
Hcv1.1.c8.g166.i1	568	568	h1
Hcv1.1.c9.g557.i1	1367	1366	h1
Hcv1.1.c1.g1113.i2	584	584	h1
Hcv1.1.c2.g382.i1	1215	1215	h1
Hcv1.1.c6.g648.i1	1214	1213	h1
Hcv1.1.c4.g200.i2	562	561	h1
Hcv1.1.c10.g377.i1	636	636	h1
Hcv1.1.c11.g349.i1	155	155	h1
Hcv1.1.c1.g70.i3	445	445	h1
Hcv1.1.c1.g249.i1	126	191	h2
Hcv1.1.c1.g906.i1	611	621	h2
Hcv1.1.c1.g1236.i3	473	483	h2
Hcv1.1.c13.g466.i4	288	288	h1
Hcv1.1.c6.g486.i2	294	294	h1
Hcv1.1.c6.g255.i1	961	964	h2
Hcv1.1.c8.g69.i1	349	349	h1
Hcv1.1.c10.g71.i2	1735	1735	h1
Hcv1.1.c1.g188.i2	373	373	h1
Hcv1.1.c11.g403.i1	381	381	h1
Hcv1.1.c13.g371.i16	516	455	h1
Hcv1.1.c2.g606.i3	1753	1413	h1
Hcv1.1.c3.g9.i3	205	205	h1
Hcv1.1.c5.g260.i2	145	145	h1
Hcv1.1.c7.g330.i1	706	712	h2
Hcv1.1.c6.g842.i1	786	784	h1
Hcv1.1.c1.g523.i1	583	584	h2
Hcv1.1.c2.g109.i1	717	717	h1
Hcv1.1.c6.g13.i5	695	695	h1
Hcv1.1.c1.g1155.i1	217	217	h1
Hcv1.1.c5.g984.i1	445	383	h1
Hcv1.1.c7.g800.i1	794	794	h1
Hcv1.1.c6.g472.i1	792	784	h1
Hcv1.1.c9.g92.i1	413	296	h1
Hcv1.1.c1.g729.i1	312	312	h1
Hcv1.1.c1.g170.i3	212	212	h1
Hcv1.1.c2.g343.i1	392	392	h1
Hcv1.1.c1.g1370.i2	226	226	h1
Hcv1.1.c7.g346.i3	131	131	h1
Hcv1.1.c9.g195.i1	478	478	h1
Hcv1.1.c13.g302.i2	364	364	h1
Hcv1.1.c4.g41.i1	152	325	h2
Hcv1.1.c2.g480.i2	629	629	h1
Hcv1.1.c5.g260.i1	145	145	h1
Hcv1.1.c1.g712.i2	3693	2530	h1
Hcv1.1.c10.g197.i2	859	859	h1
Hcv1.1.c3.g245.i1	2188	1871	h1
Hcv1.1.c4.g168.i1	134	135	h2
Hcv1.1.c6.g761.i1	275	275	h1
Hcv1.1.c3.g262.i2	211	211	h1
Hcv1.1.c7.g448.i1	310	310	h1
Hcv1.1.c7.g572.i1	76	88	h2
Hcv1.1.c4.g667.i1	489	426	h1
Hcv1.1.c5.g835.i1	176	176	h1
Hcv1.1.c9.g673.i1	380	380	h1
Hcv1.1.c8.g54.i1	723	723	h1
Hcv1.1.c12.g97.i1	469	468	h1
Hcv1.1.c13.g469.i6	1071	1859	h2
Hcv1.1.c6.g405.i1	640	640	h1
Hcv1.1.c1.g10.i3	206	206	h1
Hcv1.1.c6.g774.i1	1303	1303	h1
Hcv1.1.c1.g373.i1	943	416	h1
Hcv1.1.c5.g919.i1	335	335	h1
Hcv1.1.c9.g599.i1	203	203	h1
Hcv1.1.c4.g442.i2	963	963	h1
Hcv1.1.c2.g809.i2	431	431	h1
Hcv1.1.c1.g1265.i1	327	327	h1
Hcv1.1.c4.g476.i1	116	116	h1
Hcv1.1.c3.g214.i4	89	89	h1
Hcv1.1.c1.g212.i2	201	201	h1
Hcv1.1.c8.g415.i1	671	667	h1
Hcv1.1.c11.g754.i1	331	245	h1
Hcv1.1.c11.g692.i6	1019	1019	h1
Hcv1.1.c3.g112.i2	273	268	h1
Hcv1.1.c6.g612.i1	597	597	h1
Hcv1.1.c11.g619.i1	510	510	h1
Hcv1.1.c13.g461.i2	135	135	h1
Hcv1.1.c5.g362.i1	372	372	h1
Hcv1.1.c6.g201.i1	694	694	h1
Hcv1.1.c11.g521.i1	277	277	h1
Hcv1.1.c11.g720.i3	329	329	h1
Hcv1.1.c3.g860.i2	329	321	h1
Hcv1.1.c3.g59.i3	1414	1414	h1
Hcv1.1.c9.g354.i1	1068	1068	h1
Hcv1.1.c6.g967.i3	240	240	h1
Hcv1.1.c1.g870.i1	481	358	h1
Hcv1.1.c2.g122.i2	123	123	h1
Hcv1.1.c11.g276.i2	784	784	h1
Hcv1.1.c5.g1105.i1	627	627	h1
Hcv1.1.c3.g392.i1	455	466	h2
Hcv1.1.c13.g444.i1	977	977	h1
Hcv1.1.c2.g705.i1	525	525	h1
Hcv1.1.c2.g238.i2	632	574	h1
Hcv1.1.c6.g577.i1	312	312	h1
Hcv1.1.c1.g610.i3	801	1001	h2
Hcv1.1.c8.g188.i1	634	634	h1
Hcv1.1.c11.g299.i1	642	640	h1
Hcv1.1.c2.g1131.i2	878	663	h1
Hcv1.1.c12.g95.i1	683	1122	h2
Hcv1.1.c10.g467.i1	1049	1052	h2
Hcv1.1.c13.g320.i2	430	410	h1
Hcv1.1.c6.g919.i1	398	399	h2
Hcv1.1.c5.g1016.i1	1233	1181	h1
Hcv1.1.c11.g117.i1	990	994	h2
Hcv1.1.c2.g1094.i1	619	619	h1
Hcv1.1.c8.g82.i1	761	754	h1
Hcv1.1.c9.g773.i30	408	408	h1
Hcv1.1.c11.g452.i2	1332	1338	h2
Hcv1.1.c12.g324.i2	617	617	h1
Hcv1.1.c7.g67.i2	204	204	h1
Hcv1.1.c2.g301.i2	236	236	h1
Hcv1.1.c1.g48.i1	654	654	h1
Hcv1.1.c2.g539.i1	232	232	h1
Hcv1.1.c2.g874.i1	330	330	h1
Hcv1.1.c4.g543.i1	617	617	h1
Hcv1.1.c4.g585.i1	91	91	h1
Hcv1.1.c7.g734.i1	312	312	h1
Hcv1.1.c7.g892.i2	540	393	h1
Hcv1.1.c1.g883.i1	716	716	h1
Hcv1.1.c13.g423.i1	395	395	h1
Hcv1.1.c8.g525.i1	544	544	h1
Hcv1.1.c1.g1031.i1	77	77	h1
Hcv1.1.c13.g391.i1	458	467	h2
Hcv1.1.c5.g1096.i2	984	988	h2
Hcv1.1.c8.g575.i1	319	319	h1
Hcv1.1.c6.g242.i2	893	893	h1
Hcv1.1.c3.g514.i1	482	459	h1
Hcv1.1.c3.g654.i1	113	56	h1
Hcv1.1.c11.g292.i1	585	602	h2
Hcv1.1.c5.g72.i2	1160	1160	h1
Hcv1.1.c13.g220.i1	561	561	h1
Hcv1.1.c2.g1038.i3	573	573	h1
Hcv1.1.c4.g685.i1	490	490	h1
Hcv1.1.c10.g495.i1	268	270	h2
Hcv1.1.c11.g509.i1	318	317	h1
Hcv1.1.c1.g1328.i1	148	148	h1
Hcv1.1.c1.g875.i1	374	374	h1
Hcv1.1.c13.g502.i1	905	919	h2
Hcv1.1.c7.g716.i2	467	467	h1
Hcv1.1.c2.g798.i1	611	611	h1
Hcv1.1.c2.g717.i1	1213	1212	h1
Hcv1.1.c5.g605.i1	443	443	h1
Hcv1.1.c6.g213.i1	1718	1718	h1
Hcv1.1.c9.g736.i1	314	314	h1
Hcv1.1.c2.g1098.i1	209	218	h2
Hcv1.1.c2.g1290.i1	524	524	h1
Hcv1.1.c9.g471.i3	126	126	h1
Hcv1.1.c4.g456.i2	977	1034	h2
Hcv1.1.c7.g363.i2	175	175	h1
Hcv1.1.c6.g1048.i2	532	532	h1
Hcv1.1.c13.g535.i1	761	761	h1
Hcv1.1.c4.g391.i3	261	252	h1
Hcv1.1.c7.g392.i1	650	649	h1
Hcv1.1.c12.g360.i4	720	720	h1
Hcv1.1.c5.g277.i2	398	398	h1
Hcv1.1.c2.g818.i1	287	287	h1
Hcv1.1.c3.g944.i1	753	751	h1
Hcv1.1.c6.g281.i1	276	276	h1
Hcv1.1.c2.g931.i2	1012	1012	h1
Hcv1.1.c2.g1330.i2	440	440	h1
Hcv1.1.c5.g976.i1	225	225	h1
Hcv1.1.c7.g238.i1	316	316	h1
Hcv1.1.c5.g554.i1	320	320	h1
Hcv1.1.c11.g572.i2	410	410	h1
Hcv1.1.c3.g686.i1	247	247	h1
Hcv1.1.c7.g647.i1	425	425	h1
Hcv1.1.c11.g556.i1	510	510	h1
Hcv1.1.c12.g338.i9	212	212	h1
Hcv1.1.c5.g775.i2	153	153	h1
Hcv1.1.c12.g29.i1	629	630	h2
Hcv1.1.c2.g1215.i1	334	334	h1
Hcv1.1.c9.g258.i2	1821	1821	h1
Hcv1.1.c12.g215.i2	1265	1259	h1
Hcv1.1.c13.g275.i1	339	339	h1
Hcv1.1.c1.g1061.i1	514	514	h1
Hcv1.1.c1.g1228.i1	646	639	h1
Hcv1.1.c2.g816.i1	564	530	h1
Hcv1.1.c10.g198.i1	1425	1403	h1
Hcv1.1.c11.g59.i2	344	344	h1
Hcv1.1.c12.g250.i1	484	484	h1
Hcv1.1.c9.g485.i1	97	97	h1
Hcv1.1.c2.g440.i1	116	78	h1
Hcv1.1.c3.g522.i4	1224	1224	h1
Hcv1.1.c1.g91.i1	2446	2445	h1
Hcv1.1.c9.g690.i1	262	262	h1
Hcv1.1.c5.g1035.i1	618	619	h2
Hcv1.1.c6.g12.i1	503	502	h1
Hcv1.1.c2.g897.i2	99	99	h1
Hcv1.1.c8.g616.i2	608	352	h1
Hcv1.1.c1.g597.i1	391	382	h1
Hcv1.1.c8.g786.i1	330	329	h1
Hcv1.1.c9.g668.i1	379	379	h1
Hcv1.1.c8.g17.i1	536	536	h1
Hcv1.1.c8.g104.i1	520	520	h1
Hcv1.1.c7.g807.i2	356	356	h1
Hcv1.1.c10.g366.i1	433	433	h1
Hcv1.1.c12.g302.i1	817	817	h1
Hcv1.1.c7.g22.i1	178	178	h1
Hcv1.1.c13.g550.i1	221	222	h2
Hcv1.1.c9.g629.i1	807	810	h2
Hcv1.1.c8.g252.i1	437	439	h2
Hcv1.1.c4.g52.i1	972	953	h1
Hcv1.1.c7.g624.i1	836	723	h1
Hcv1.1.c6.g884.i1	435	435	h1
Hcv1.1.c10.g133.i2	822	822	h1
Hcv1.1.c5.g1104.i1	479	479	h1
Hcv1.1.c1.g1493.i1	350	350	h1
Hcv1.1.c7.g600.i1	387	387	h1
Hcv1.1.c5.g643.i1	391	391	h1
Hcv1.1.c10.g195.i1	210	210	h1
Hcv1.1.c3.g28.i1	599	599	h1
Hcv1.1.c13.g226.i1	235	235	h1
Hcv1.1.c3.g72.i2	274	274	h1
Hcv1.1.c7.g513.i2	724	726	h2
Hcv1.1.c9.g141.i1	296	296	h1
Hcv1.1.c1.g218.i2	839	764	h1
Hcv1.1.c2.g358.i1	106	106	h1
Hcv1.1.c8.g508.i1	816	816	h1
Hcv1.1.c6.g244.i2	2115	2115	h1
Hcv1.1.c9.g614.i1	418	418	h1
Hcv1.1.c1.g352.i1	196	196	h1
Hcv1.1.c5.g608.i1	297	297	h1
Hcv1.1.c11.g656.i3	1272	1282	h2
Hcv1.1.c2.g1224.i1	265	265	h1
Hcv1.1.c6.g707.i1	57	172	h2
Hcv1.1.c2.g936.i1	90	90	h1
Hcv1.1.c4.g68.i3	175	175	h1
Hcv1.1.c3.g1143.i1	187	187	h1
Hcv1.1.c8.g180.i1	307	307	h1
Hcv1.1.c8.g358.i1	359	362	h2
Hcv1.1.c9.g303.i1	858	858	h1
Hcv1.1.c10.g316.i1	620	620	h1
Hcv1.1.c11.g541.i1	571	571	h1
Hcv1.1.c9.g275.i3	1013	1013	h1
Hcv1.1.c2.g22.i1	321	327	h2
Hcv1.1.c2.g626.i1	188	188	h1
Hcv1.1.c3.g392.i3	267	278	h2
Hcv1.1.c13.g135.i1	574	574	h1
Hcv1.1.c4.g663.i1	644	479	h1
Hcv1.1.c3.g622.i1	1086	1085	h1
Hcv1.1.c12.g128.i1	339	339	h1
Hcv1.1.c3.g472.i1	466	465	h1
Hcv1.1.c4.g44.i1	565	600	h2
Hcv1.1.c13.g230.i4	1743	1744	h2
Hcv1.1.c5.g644.i1	223	223	h1
Hcv1.1.c2.g540.i1	947	947	h1
Hcv1.1.c5.g220.i2	471	471	h1
Hcv1.1.c6.g581.i1	361	361	h1
Hcv1.1.c2.g1175.i2	603	606	h2
Hcv1.1.c5.g130.i1	434	434	h1
Hcv1.1.c2.g423.i1	446	446	h1
Hcv1.1.c12.g389.i1	304	304	h1
Hcv1.1.c4.g525.i1	729	729	h1
Hcv1.1.c6.g7.i1	96	96	h1
Hcv1.1.c13.g452.i1	1040	1041	h2
Hcv1.1.c5.g614.i1	793	792	h1
Hcv1.1.c4.g558.i1	65	65	h1
Hcv1.1.c3.g982.i1	761	761	h1
Hcv1.1.c5.g533.i1	634	631	h1
Hcv1.1.c7.g582.i2	202	202	h1
Hcv1.1.c4.g268.i2	526	526	h1
Hcv1.1.c5.g589.i1	756	760	h2
Hcv1.1.c6.g656.i1	409	431	h2
Hcv1.1.c11.g823.i5	468	468	h1
Hcv1.1.c11.g182.i1	82	200	h2
Hcv1.1.c13.g520.i1	233	233	h1
Hcv1.1.c8.g91.i1	204	204	h1
Hcv1.1.c11.g585.i5	363	363	h1
Hcv1.1.c13.g556.i1	1001	1001	h1
Hcv1.1.c5.g725.i1	101	101	h1
Hcv1.1.c5.g774.i2	505	505	h1
Hcv1.1.c5.g1109.i1	1487	1487	h1
Hcv1.1.c1.g755.i1	822	822	h1
Hcv1.1.c9.g34.i1	229	229	h1
Hcv1.1.c12.g12.i1	914	914	h1
Hcv1.1.c3.g366.i4	763	740	h1
Hcv1.1.c8.g72.i1	337	337	h1
Hcv1.1.c5.g342.i1	326	182	h1
Hcv1.1.c7.g14.i1	1140	1140	h1
Hcv1.1.c7.g248.i2	477	477	h1
Hcv1.1.c11.g740.i1	152	152	h1
Hcv1.1.c4.g658.i1	271	905	h2
Hcv1.1.c11.g219.i1	427	427	h1
Hcv1.1.c2.g638.i1	1056	1056	h1
Hcv1.1.c5.g102.i1	361	377	h2
Hcv1.1.c4.g297.i1	611	610	h1
Hcv1.1.c5.g676.i1	213	346	h2
Hcv1.1.c5.g571.i1	598	598	h1
Hcv1.1.c7.g105.i1	-1	-1	NO
Hcv1.1.c8.g774.i1	306	306	h1
Hcv1.1.c7.g282.i3	752	752	h1
Hcv1.1.c4.g411.i2	1110	1110	h1
Hcv1.1.c5.g531.i3	595	587	h1
Hcv1.1.c8.g480.i1	347	347	h1
Hcv1.1.c8.g762.i1	752	752	h1
Hcv1.1.c3.g736.i2	165	165	h1
Hcv1.1.c6.g987.i1	414	313	h1
Hcv1.1.c6.g97.i1	242	330	h2
Hcv1.1.c11.g503.i1	371	371	h1
Hcv1.1.c2.g98.i1	56	56	h1
Hcv1.1.c1.g698.i1	241	241	h1
Hcv1.1.c11.g164.i1	441	439	h1
Hcv1.1.c3.g581.i1	557	557	h1
Hcv1.1.c9.g321.i4	838	838	h1
Hcv1.1.c6.g747.i2	1765	1765	h1
Hcv1.1.c11.g88.i4	168	168	h1
Hcv1.1.c2.g781.i1	738	734	h1
Hcv1.1.c6.g739.i1	367	367	h1
Hcv1.1.c1.g981.i1	494	494	h1
Hcv1.1.c3.g835.i1	596	596	h1
Hcv1.1.c2.g801.i2	324	324	h1
Hcv1.1.c7.g707.i1	1048	1048	h1
Hcv1.1.c7.g611.i1	419	419	h1
Hcv1.1.c3.g276.i1	403	403	h1
Hcv1.1.c5.g1098.i1	552	552	h1
Hcv1.1.c1.g853.i2	772	772	h1
Hcv1.1.c11.g22.i2	136	136	h1
Hcv1.1.c12.g22.i2	542	542	h1
Hcv1.1.c1.g789.i2	346	346	h1
Hcv1.1.c6.g978.i1	1033	1373	h2
Hcv1.1.c2.g278.i1	1274	1274	h1
Hcv1.1.c3.g346.i2	350	350	h1
Hcv1.1.c1.g269.i1	158	158	h1
Hcv1.1.c7.g422.i1	219	219	h1
Hcv1.1.c9.g378.i1	234	234	h1
Hcv1.1.c1.g1016.i1	64	64	h1
Hcv1.1.c2.g570.i1	246	251	h2
Hcv1.1.c2.g1405.i3	383	383	h1
Hcv1.1.c10.g496.i1	1076	1071	h1
Hcv1.1.c11.g118.i1	342	342	h1
Hcv1.1.c3.g1011.i1	337	337	h1
Hcv1.1.c1.g1288.i1	381	382	h2
Hcv1.1.c2.g559.i1	342	342	h1
Hcv1.1.c11.g784.i1	365	365	h1
Hcv1.1.c5.g13.i1	86	86	h1
Hcv1.1.c3.g909.i2	679	679	h1
Hcv1.1.c3.g729.i1	443	305	h1
Hcv1.1.c3.g418.i1	395	395	h1
Hcv1.1.c3.g658.i1	262	262	h1
Hcv1.1.c13.g321.i1	372	406	h2
Hcv1.1.c11.g656.i1	2174	1270	h1
Hcv1.1.c3.g120.i1	405	405	h1
Hcv1.1.c5.g840.i1	532	531	h1
Hcv1.1.c9.g1.i1	767	767	h1
Hcv1.1.c8.g607.i1	1025	479	h1
Hcv1.1.c1.g210.i1	464	464	h1
Hcv1.1.c4.g649.i3	98	98	h1
Hcv1.1.c1.g1106.i1	610	666	h2
Hcv1.1.c1.g268.i1	597	597	h1
Hcv1.1.c11.g364.i1	419	419	h1
Hcv1.1.c5.g1040.i1	123	123	h1
Hcv1.1.c2.g970.i1	416	416	h1
Hcv1.1.c1.g451.i2	643	624	h1
Hcv1.1.c13.g245.i1	731	731	h1
Hcv1.1.c11.g622.i1	80	80	h1
Hcv1.1.c2.g822.i4	1940	1934	h1
Hcv1.1.c1.g1396.i1	1574	1568	h1
Hcv1.1.c6.g354.i1	890	890	h1
Hcv1.1.c9.g667.i2	1092	1092	h1
Hcv1.1.c11.g803.i1	207	207	h1
Hcv1.1.c2.g1341.i1	557	558	h2
Hcv1.1.c1.g113.i1	508	508	h1
Hcv1.1.c5.g18.i1	177	177	h1
Hcv1.1.c1.g336.i17	460	460	h1
Hcv1.1.c2.g814.i2	427	429	h2
Hcv1.1.c13.g104.i1	97	92	h1
Hcv1.1.c11.g141.i1	199	199	h1
Hcv1.1.c3.g1146.i1	540	540	h1
Hcv1.1.c10.g373.i1	93	-1	h1
Hcv1.1.c11.g176.i3	303	303	h1
Hcv1.1.c1.g745.i1	447	447	h1
Hcv1.1.c10.g112.i12	852	852	h1
Hcv1.1.c3.g652.i3	436	435	h1
Hcv1.1.c2.g395.i1	266	266	h1
Hcv1.1.c10.g63.i1	153	153	h1
Hcv1.1.c11.g618.i1	355	355	h1
Hcv1.1.c5.g23.i1	1200	1207	h2
Hcv1.1.c12.g401.i1	791	791	h1
Hcv1.1.c8.g610.i1	364	364	h1
